Title,Conference
Innovation in Database Management: Computer Science vs. Engineering.,VLDB
High performance prime field multiplication for GPU.,ISCAS
enchanted scissors: a scissor interface for support in cutting and interactive fabrication.,SIGGRAPH
Detection of channel degradation attack by Intermediary Node in Linear Networks.,INFOCOM
Pinning a Complex Network through the Betweenness Centrality Strategy.,ISCAS
Analysis and Design of Memoryless Interconnect Encoding Scheme.,ISCAS
Dynamic bluescreens.,SIGGRAPH
A Quantitative Assured Forwarding Service.,INFOCOM
Automatic sanitization of social network data to prevent inference attacks.,WWW
A &#916;&#931; IR-UWB radar with sub-mm ranging capability for human body monitoring systems.,ISCAS
Architecture of a multi-slot main memory system for 3.2 Gbps operation.,ISCAS
Rule-based Service Customization via Houdini.,WWW
Business Policy Modeling and Enforcement in Databases.,VLDB
A high speed and high linearity OTA in 1-V power supply voltage.,ISCAS
PREDIcT: Towards Predicting the Runtime of Large Scale Iterative Analytics.,VLDB
SocialSensor: sensing user generated input for improved media discovery and experience.,WWW
Parametric keyframe interpolation incorporating kinetic adjustment and phrasing control.,SIGGRAPH
An Explanation for Unexpected 802.11 Outdoor Link-level Measurement Results.,INFOCOM
Hot Block Clustering for Disk Arrays with Dynamic Striping.,VLDB
Analysis of propagation delay in 3 - D stacked DRAM.,ISCAS
ISHair: importance sampling for hair scattering.,SIGGRAPH
Green Wave: Latency and Capacity-Efficient Sleep Scheduling for Wireless Networks.,INFOCOM
Exploiting innocuous activity for correlating users across sites.,WWW
Optimized numerical mapping scheme for filter-based exon location in DNA using a quasi-Newton algorithm.,ISCAS
Nyquist criterion based design of continuous time Sigma Delta modulators.,ISCAS
Fast Transient Simulation of Lossy Transmission Lines.,ISCAS
Image sensor with focal plane polarization sensitivity.,ISCAS
Power-oriented delay budgeting for combinational circuits.,ISCAS
Sensor Network Navigation without Locations.,INFOCOM
Simplified logic design methodology for fuzzy membership function based robust detection of maternal modulus maxima location: A low complexity Fetal ECG extraction architecture for mobile health monitoring systems.,ISCAS
E-V: Efficient visual surveillance with electronic footprints.,INFOCOM
Analysis of Price Competition in a Slotted Resource Allocation Game.,INFOCOM
A language for shading and lighting calculations.,SIGGRAPH
Integration of Streaming and Elastic Traffic in Wireless Networks.,INFOCOM
MATE: MPLS Adaptive Traffic Engineering.,INFOCOM
Surround-screen projection-based virtual reality: the design and implementation of the CAVE.,SIGGRAPH
Output Characteristics of Class E Amplifier With Nonlinear Shunt Capacitance Versus Supply Voltage.,ISCAS
Predicting reflectance functions from complex surfaces.,SIGGRAPH
ActionView: a Movement-analysis Ambulatory Monitor in Elderly Homecare Systems.,ISCAS
Live demonstration: Packet-based AER with 3Gevent/s cumulative throughput.,ISCAS
Adaptive electricity scheduling in microgrids.,INFOCOM
Design of a 64-bit Low-energy High-performance Adder using Dynamic Feedthrough Logic.,ISCAS
Minimax Design of IIR Digital Filters using SDP Relaxation Technique.,ISCAS
Propagation and Reflection of Phase Differences on a Lattice of Coupled Oscillators.,ISCAS
Query Optimization in the Presence of Foreign Functions.,VLDB
Parallelizing query optimization.,VLDB
Optimizing the Topology of Bluetooth Wireless Personal Area Networks.,INFOCOM
A Scalable Algorithm for Maximizing Range Sum in Spatial Databases.,VLDB
Coexistence and Transformation of Data.,VLDB
Power transfer networks at RF frequencies: new design procedures with implementation roadmap.,ISCAS
A distributed amplifier based dispersive delay line.,ISCAS
High-speed front end for LED-Photodiode based fluorescence lifetime measurement system.,ISCAS
Simple sybil-proof mechanisms for multi-level marketing.,INFOCOM
Rants: a framework for rank editing and sharing in web search.,WWW
Mobile search pattern evolution: the trend and the impact of voice queries.,WWW
Data summaries for on-demand queries over linked data.,WWW
Compressive sampling of EMG bio-signals.,ISCAS
